adjectives, superlatives	magnus	maximus
adjectives, superlatives	bonus	optimus
adjectives, superlatives	gravis	gravissimus
adjectives, superlatives	longus	longissimus
adjectives, superlatives	miser	miserrimus
adjectives, superlatives	certus	certissimus
adjectives, superlatives	altus	altissimus
adjectives, superlatives	facilis	facillimus
adjectives, superlatives	dignus	dignissimus
adjectives, superlatives	verus	verissimus
adjectives, superlatives	aequus	aequissimus
adjectives, superlatives	liber	liberrimus
adjectives, superlatives	multus	plurimus
adjectives, superlatives	publicus	publicissimus
adjectives, superlatives	similis	simillimus
adjectives, superlatives	parvus	minimus
adjectives, superlatives	adulescens	adulescentissimus
